timestamp,open,high,low,close,volume
2024-10-16 18:00:00,67938.23,68062.64,67779.58,67817.83,1788.69
2024-10-16 19:00:00,67817.83,67948.54,67644.5,67730.32,1834.3
2024-10-16 20:00:00,67730.32,67952.95,67621.56,67621.56,990.08
2024-10-16 21:00:00,67621.56,67694.9,67486.43,67554.83,656.71
2024-10-16 22:00:00,67554.83,67852.0,67553.02,67776.96,858.04
2024-10-16 23:00:00,67776.96,67822.29,67601.46,67614.71,764.66
2024-10-17 00:00:00,67614.71,67931.28,67570.42,67696.98,961.18
2024-10-17 01:00:00,67696.98,67889.42,67395.09,67887.72,1516.55
2024-10-17 02:00:00,67887.72,67889.9,67392.55,67461.34,1280.06
2024-10-17 03:00:00,67461.34,67681.99,67421.21,67587.97,715.71
2024-10-17 04:00:00,67587.97,67588.0,67240.13,67242.48,839.54
2024-10-17 05:00:00,67242.48,67458.11,67241.03,67327.3,534.33
2024-10-17 06:00:00,67327.3,67482.12,67104.49,67139.9,957.07
2024-10-17 07:00:00,67139.9,67283.74,67063.79,67271.89,967.99
2024-10-17 08:00:00,67271.89,67450.47,67163.38,67428.21,703.59
2024-10-17 09:00:00,67428.21,67500.2,67164.98,67174.64,563.06
2024-10-17 10:00:00,67174.64,67275.75,66806.64,67191.57,1117.47
2024-10-17 11:00:00,67191.57,67258.64,66787.83,66852.96,1040.0
2024-10-17 12:00:00,66852.96,67159.3,66782.21,67147.59,1403.22
2024-10-17 13:00:00,67147.59,67332.58,66643.91,66999.23,2857.83
2024-10-17 14:00:00,66999.23,67277.45,66686.86,67100.44,4039.84
2024-10-17 15:00:00,67100.44,67654.42,66933.67,67573.59,2683.89
2024-10-17 16:00:00,67573.59,67582.98,67107.48,67362.59,1604.21
2024-10-17 17:00:00,67362.59,67523.34,67141.01,67273.88,1438.79
2024-10-17 18:00:00,67273.88,67294.77,66698.72,66918.06,2538.23
2024-10-17 19:00:00,66918.06,67005.75,66761.59,66822.19,1363.18
2024-10-17 20:00:00,66822.19,67126.99,66803.31,66925.61,859.91
2024-10-17 21:00:00,66925.61,67109.46,66920.1,67061.86,444.89
2024-10-17 22:00:00,67061.86,67459.92,67061.86,67421.93,948.31
